ID_Number,Make,Model,Variant,Ex-Showroom_Price,Fuel_Type,Fuel_Tank_Capacity in Litres,capacity points,Displacement in cc,displacement points,Cylinders,No of cylinder points,Valves_Per_Cylinder,Valve point,Emission_Norm in BS,emission points,ARAI_Certified_Mileage in km/litre,ARAI Mileage Points liquid,ARAI_Certified_Mileage_for_CNG in km/kg,ARAI Mileage Points CNG,Front_Brakes,front break points,Rear_Brakes,rear break points,Power_Steering,power steering point,Power_Windows,power window point,Odometer,odometer point,Speedometer,speedometer point,Tripmeter,tripmeter point,Seats_Material,seat material point,Type,type point,Audio system,audio system point,Bluetooth,bluetooth point,Boot_Space in L,Boot Space points,Fuel-lid_Opener,Fuel-lid opener point,Boot-lid_Opener,Boot-lid Opener points,Fuel_Gauge,Fuel Guage points,Low_Fuel_Warning,Low Fuel Warning point,Ventilation_System,Ventilation system points,Cruise_Control,Cruise Control points,Airbags,Airbags point,Power in PS,Power Points,torque in NM,Torque points,POINT SUM,torque in NM old,Drivetrain,Cylinder_Configuration,Torque,Engine_Location,Fuel_System,Height in MM,Length in MM,Width in MM,Body_Type,Doors,City_Mileage in km/litre,Power,Highway_Mileage in km/litre,Kerb_Weight in kg,Gears,Ground_Clearance in MM,Front_Suspension,Rear_Suspension,Front_Track in MM,Rear_Track in MM,Front_Tyre,Rim WR,RIMS CORRECT,Rear_Tyre_&_Rim,Power_Seats,Keyless_Entry,RPM PS,Tachometer,Seating_Capacity,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Handbrake,Instrument_Console,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,A _(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs2,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recommended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range
791,Land Rover,Range Evoque,S Petrol,5494000,Petrol,67,3,1997,6,4,4,4,0,6,3,10.99,2,0,0,Ventilated Disc,3,Ventilated Disc,2,Electro-Hydraulic,2,All Windows,2,Digital,2,Analog,1,Yes,1,Leather,1,Automatic,5,CD Player with USB & Aux-in,5,Yes,1,472,5,Internal,5,"With Remote, Internal",5,Digital,2,Yes,1,2 Zone Climate Control,3,Yes,1,"Drive side airbag, Front passenger curtain airbag, Driver curtain airbag, Rear passenger curtain airbags, Driver frontal airbag, Front passenger frontal airbag",6,245,7,365,7,85,365,AWD (All Wheel Drive),V,365NM@1500-4500rpm,"Front, Transverse",Injection,1649,4371,1996,SUV,5,,245PS@5500rpm,,1929,9,210,MacPherson Strut,Multi - link,1626,1632,235/65R17,235/65R17,R17,235/65R17,Yes,Smart Key,5500,Analog,5,2681 mm,235/65R17,Yes,Yes,Yes,Yes,"3 Years/1,00,000 Kms (Whichever comes earlier)",Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"12/24 months /2,00,000 Kms (Whichever comes earlier)",Yes,Automatic,Analog + Digital,5.65 meter,Yes,Driver & Front Passenger,Not Applicable,Yes,Yes,Yes,Yes,Yes,,"Normal, Comfort, Sport",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,2430 kg,Yes,Yes,Yes,Yes,6,15.5,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,P 250,Yes,,Yes,Yes,,none
792,Land Rover,Range Evoque,Se R-Dynamic Petrol,5985000,Petrol,67,3,1997,6,4,4,4,0,6,3,10.99,2,0,0,Ventilated Disc,3,Ventilated Disc,2,Electro-Hydraulic,2,All Windows,2,Digital,2,Analog,1,Yes,1,Leather,1,Automatic,5,CD Player with USB & Aux-in,5,Yes,1,472,5,Internal,5,"With Remote, Internal",5,Digital,2,Yes,1,2 Zone Climate Control,3,Yes,1,"Drive side airbag, Front passenger curtain airbag, Driver curtain airbag, Rear passenger curtain airbags, Driver frontal airbag, Front passenger frontal airbag",6,245,7,365,7,85,365,AWD (All Wheel Drive),V,365NM@1500-4500rpm,"Front, Transverse",Injection,1649,4371,1996,SUV,5,,245PS@5500rpm,,1929,9,210,MacPherson Strut,Multi - link,1626,1632,235/65R17,235/65R17,R17,235/65R17,Yes,Smart Key,5500,Analog,5,2681 mm,235/65R17,Yes,Yes,Yes,Yes,"3 Years/1,00,000 Kms (Whichever comes earlier)",Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"12/24 months /2,00,000 Kms (Whichever comes earlier)",Yes,Automatic,Analog + Digital,5.65 meter,Yes,Driver & Front Passenger,Not Applicable,Yes,Yes,Yes,Yes,Yes,,"Normal, Comfort, Sport",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,2430 kg,Yes,Yes,Yes,Yes,6,15.5,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,P 250,Yes,,Yes,Yes,,none
793,Mercedes,Mercedes-Benz E-Class,E200,5861062,Petrol,80,4,1991,6,4,4,4,0,4,2,12,2,0,0,Ventilated Disc,3,Ventilated Disc,2,Electro-Hydraulic,2,All Windows,2,Digital,2,Analog,1,Yes,1,Leather,1,Automatic,5,CD/MP3/DVD Player with USB & Aux-in,5,Yes,1,540,5,"With Remote, Internal",1,"With Remote, Internal",5,Analog,1,Yes,1,3 Zone climate control,3,Yes,1,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Curtain airbags",6,184,6,300,6,78,300,RWD (Rear Wheel Drive),In-line,300NM@1200-4000rpm,"Front, Longitudinal",Injection,1494,5063,1860,Sedan,4,8.5,184PS@5500rpm,12,,,,"4-link air suspension, anti-dive, automatic level control & stabilizer","Multi-link, anti-dive, anti-lift, automatic level control & stabilizer",1595,1597,245/45 R17,245/45 R17,R17,245/45 R17,"Yes, with memory",Smart Key,5500,Analog,5,3079 mm,245/45 R17,Yes,Yes,Yes,Yes,3 years / Unlimited Kms,Yes,Yes,Yes,Analog,Front & Rear,Yes,Front & Rear,Yes,4th year /with (absolutely no mileage restriction),Yes,Automatic,Analog + Digital,,Yes,Driver & Front Passenger,Not Applicable,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,Yes,Yes,Yes,Yes,7,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Only front,,,Yes,Yes,Yes,Yes,,Yes,,,,,none
794,Mercedes,Mercedes-Benz E-Class,E350 D,7285332,Diesel,80,4,2987,7,6,6,4,0,4,2,14.2,2,0,0,Ventilated Disc,3,Ventilated Disc,2,Electric Power,2,All Windows,2,Analog,1,Analog,1,Yes,1,Leather,1,Automatic,5,CD/MP3/DVD Player with USB & Aux-in,5,Yes,1,540,5,Internal,5,Internal,3,Analog,1,Yes,1,3 Zone climate control,3,Yes,1,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Drive side airbag, Front passenger side airbag, Driver knee airbag",6,268.7,7,620,11,88,620,RWD (Rear Wheel Drive),V,620NM@1600rpm,"Front, Longitudinal",Injection,1494,5063,1860,Sedan,4,7.45,268.7PS@3800rpm,,,,155,"McPhersons axle with coil spring Coil springs, twin-tube gas-filled with SDD/coil springs",Multi link independent suspensions with coil spring Single-tube gas-filled with SDD,1595,1597,245/35 R17,245/35 R17,R17,245/35 R17,"Yes, with memory",Smart Key,3800,Analog,5,3079 mm,245/35 R17,Yes,Yes,Yes,Yes,3 years / Unlimited Kms,Yes,Yes,Yes,Analog,Front & Rear,Yes,Front & Rear,Yes,4th year /with (absolutely no mileage restriction),Yes,Manual,Analog,,Yes,Driver & Front Passenger,Not Applicable,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,Yes,Yes,Yes,Yes,7,,"Rake, Reach",,Air Conditioner : Standard,Front & rear sensors with 360 degree view,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Semi Automatic Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,,,Yes,,,,,none
795,Mercedes,Mercedes-Benz E-Class,E220D,5964321,Diesel,80,4,2987,7,6,6,4,0,4,2,14.2,2,0,0,Ventilated Disc,3,Ventilated Disc,2,Electric Power,2,All Windows,2,Analog,1,Analog,1,Yes,1,Leather,1,Automatic,5,CD/MP3/DVD Player with USB & Aux-in,5,Yes,1,540,5,Internal,5,Internal,3,Analog,1,Yes,1,3 Zone climate control,3,Yes,1,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Drive side airbag, Front passenger side airbag, Driver knee airbag",6,268.7,7,620,11,88,620,RWD (Rear Wheel Drive),V,620NM@1600rpm,"Front, Longitudinal",Injection,1494,5063,1860,Sedan,4,,268.7PS@3800rpm,,,,155,"McPhersons axle with coil spring Coil springs, twin-tube gas-filled with SDD/coil springs",Multi link independent suspensions with coil spring Single-tube gas-filled with SDD,1595,1597,245/35 R17,245/35 R17,R17,245/35 R17,"Yes, with memory",Smart Key,3800,Analog,5,3079 mm,245/35 R17,Yes,Yes,Yes,Yes,3 years / Unlimited Kms,Yes,Yes,Yes,Analog,Front & Rear,Yes,Front & Rear,Yes,4th year /with (absolutely no mileage restriction),Yes,Manual,Analog,,Yes,Driver & Front Passenger,Not Applicable,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,Yes,Yes,Yes,Yes,7,,"Rake, Reach",,Air Conditioner : Standard,Front & rear sensors with 360 degree view,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Semi Automatic Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,,,Yes,,,,,none
796,Mercedes,Mercedes-Benz E-Class,E 63 S Amg,15000000,Petrol,80,4,5461,8,8,6,4,0,4,2,8.5,1,0,0,Ventilated Disc,3,Ventilated Disc,2,Electric Power,2,All Windows,2,Digital,2,Digital,2,Yes,2,Leather,1,Automatic,5,CD/MP3 Player,2,Yes,1,540,5,Internal,5,Internal,3,Digital,2,Yes,1,2 Zone Climate Control,3,Yes,1,"Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Curtain airbags, Driver frontal airbag",5,549,10,720,11,91,720,AWD (All Wheel Drive),V,720NM@1750-5250RPM,"Front, Longitudinal",Injection,1474,4879,1854,Sedan,4,4.5,549PS@5500rpm,8.5,1845,7,155,"4-link air suspension, anti-dive, automatic level control & stabilizer","Multi-link, anti-dive, anti-lift, automatic level control & stabilizer",,,255/40 R18,255/40 R18,R18,285/35 R18,"Yes, with memory",,5500,Yes,4,2874 mm,18,,,,,3 years / Unlimited Kms,,Yes,Yes,,,,,,4th year /with (absolutely no mileage restriction),,Automatic,Analog,5.65 meter,Yes,Driver & Front Passenger,,Yes,Yes,,,,,,Yes,,,,,,,Yes,Yes,,2390 kg,Yes,Yes,Yes,,6,10.3:1,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,,,,,,Multifunction Steering Wheel,,Yes,Electric Adjustment,Yes,,Yes,,,Yes,,,Only front,,,Yes,,Yes,Yes,,Yes,,,,,none
797,Mercedes,Mercedes-Benz E-Class,E200 Expression,5750000,Petrol,80,4,1991,6,4,4,4,0,4,2,12,2,0,0,Ventilated Disc,3,Ventilated Disc,2,Electro-Hydraulic,2,All Windows,2,Digital,2,Analog,1,Yes,1,Leather,1,Automatic,5,CD/MP3/DVD Player with USB & Aux-in,5,Yes,1,540,5,"With Remote, Internal",1,"With Remote, Internal",5,Analog,1,Yes,1,3 Zone climate control,3,Yes,1,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Curtain airbags",6,184,6,300,6,78,300,RWD (Rear Wheel Drive),In-line,300NM@1200-4000rpm,"Front, Longitudinal",Injection,1494,5063,1860,Sedan,4,8.5,184PS@5500rpm,12,,,,"4-link air suspension, anti-dive, automatic level control & stabilizer","Multi-link, anti-dive, anti-lift, automatic level control & stabilizer",1595,1597,245/45 R17,245/45 R17,R17,245/45 R17,"Yes, with memory",Smart Key,5500,Analog,5,3079 mm,245/45 R17,Yes,Yes,Yes,Yes,3 years / Unlimited Kms,Yes,Yes,Yes,Analog,Front & Rear,Yes,Front & Rear,Yes,4th year /with (absolutely no mileage restriction),Yes,Automatic,Analog + Digital,,Yes,Driver & Front Passenger,Not Applicable,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,Yes,Yes,Yes,Yes,7,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Only front,,,Yes,Yes,Yes,Yes,,Yes,,,,,none
798,Mercedes,Mercedes-Benz E-Class,E200 Exclusive,6150000,Petrol,80,4,1991,6,4,4,4,0,4,2,12,2,0,0,Ventilated Disc,3,Ventilated Disc,2,Electro-Hydraulic,2,All Windows,2,Digital,2,Analog,1,Yes,1,Leather,1,Automatic,5,CD/MP3/DVD Player with USB & Aux-in,5,Yes,1,540,5,"With Remote, Internal",1,"With Remote, Internal",5,Analog,1,Yes,1,3 Zone climate control,3,Yes,1,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Curtain airbags",6,184,6,300,6,78,300,RWD (Rear Wheel Drive),In-line,300NM@1200-4000rpm,"Front, Longitudinal",Injection,1494,5063,1860,Sedan,4,8.5,184PS@5500rpm,12,,,,"4-link air suspension, anti-dive, automatic level control & stabilizer","Multi-link, anti-dive, anti-lift, automatic level control & stabilizer",1595,1597,245/45 R17,245/45 R17,R17,245/45 R17,"Yes, with memory",Smart Key,5500,Analog,5,3079 mm,245/45 R17,Yes,Yes,Yes,Yes,3 years / Unlimited Kms,Yes,Yes,Yes,Analog,Front & Rear,Yes,Front & Rear,Yes,4th year /with (absolutely no mileage restriction),Yes,Automatic,Analog + Digital,,Yes,Driver & Front Passenger,Not Applicable,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,Yes,Yes,Yes,Yes,7,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Only front,,,Yes,Yes,Yes,Yes,,Yes,,,,,none
799,Mercedes,Mercedes-Benz E-Class,E220D Expression,5850000,Diesel,80,4,2987,7,6,6,4,0,4,2,14.2,2,0,0,Ventilated Disc,3,Ventilated Disc,2,Electric Power,2,All Windows,2,Analog,1,Analog,1,Yes,1,Leather,1,Automatic,5,CD/MP3/DVD Player with USB & Aux-in,5,Yes,1,540,5,Internal,5,Internal,3,Analog,1,Yes,1,3 Zone climate control,3,Yes,1,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Drive side airbag, Front passenger side airbag, Driver knee airbag",6,268.7,7,620,11,88,620,RWD (Rear Wheel Drive),V,620NM@1600rpm,"Front, Longitudinal",Injection,1494,5063,1860,Sedan,4,,268.7PS@3800rpm,,,,155,"McPhersons axle with coil spring Coil springs, twin-tube gas-filled with SDD/coil springs",Multi link independent suspensions with coil spring Single-tube gas-filled with SDD,1595,1597,245/35 R17,245/35 R17,R17,245/35 R17,"Yes, with memory",Smart Key,3800,Analog,5,3079 mm,245/35 R17,Yes,Yes,Yes,Yes,3 years / Unlimited Kms,Yes,Yes,Yes,Analog,Front & Rear,Yes,Front & Rear,Yes,4th year /with (absolutely no mileage restriction),Yes,Manual,Analog,,Yes,Driver & Front Passenger,Not Applicable,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,Yes,Yes,Yes,Yes,7,,"Rake, Reach",,Air Conditioner : Standard,Front & rear sensors with 360 degree view,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Semi Automatic Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,,,Yes,,,,,none
800,Mercedes,Mercedes-Benz E-Class,E220D Exclusive,6250000,Diesel,80,4,2987,7,6,6,4,0,4,2,14.2,2,0,0,Ventilated Disc,3,Ventilated Disc,2,Electric Power,2,All Windows,2,Analog,1,Analog,1,Yes,1,Leather,1,Automatic,5,CD/MP3/DVD Player with USB & Aux-in,5,Yes,1,540,5,Internal,5,Internal,3,Analog,1,Yes,1,3 Zone climate control,3,Yes,1,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Drive side airbag, Front passenger side airbag, Driver knee airbag",6,268.7,7,620,11,88,620,RWD (Rear Wheel Drive),V,620NM@1600rpm,"Front, Longitudinal",Injection,1494,5063,1860,Sedan,4,,268.7PS@3800rpm,,,,155,"McPhersons axle with coil spring Coil springs, twin-tube gas-filled with SDD/coil springs",Multi link independent suspensions with coil spring Single-tube gas-filled with SDD,1595,1597,245/35 R17,245/35 R17,R17,245/35 R17,"Yes, with memory",Smart Key,3800,Analog,5,3079 mm,245/35 R17,Yes,Yes,Yes,Yes,3 years / Unlimited Kms,Yes,Yes,Yes,Analog,Front & Rear,Yes,Front & Rear,Yes,4th year /with (absolutely no mileage restriction),Yes,Manual,Analog,,Yes,Driver & Front Passenger,Not Applicable,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,Yes,Yes,Yes,Yes,7,,"Rake, Reach",,Air Conditioner : Standard,Front & rear sensors with 360 degree view,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Semi Automatic Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,,,Yes,,,,,none
801,Volvo,Xc60,Inscription D5,5990000,Diesel,70,3,1969,6,5,5,4,0,4,2,18.8,4,0,0,Ventilated Disc,3,Ventilated Disc,2,Electric Power,2,All Windows,2,Digital,2,Digital,2,Yes,2,Leather,1,Automatic,5,DVD Player with USB & Aux-in,3,Yes,1,495,5,Internal,5,Internal,3,Digital,2,Yes,1,Fully automatic climate control,7,Yes,1,"Rear passenger side airbags, Drive side airbag, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",6,233,7,480,10,92,480,AWD (All Wheel Drive),In-line,480NM@1750rpm,"Front, Longitudinal",Injection,1658,4688,1902,SUV,5,11.7,233PS@4250rpm,18.8,1879,6,209,Independent suspension with gash shox,Torsion Beam gas shox,,,235/55 R19,235/55 R19,R19,235/55 R19,Yes,Smart Key,4250,Analog,5,2865 mm,235/55 R19,Yes,Yes,Yes,,,Yes,Yes,Yes,Digital,Front & Rear,Yes,Yes,Yes,,Yes,Manual,Analog + Digital,,Yes,Driver & Front Passenger,,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,,All Rows,,Yes,Yes,Yes,,8,,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,,Yes,Yes,,,,All,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,none
802,Bmw,X4,Xdrive20D M Sport X,6060000,Diesel,60,3,1995,6,4,4,4,0,6,3,16.4,4,0,0,Ventilated Disc,3,Ventilated Disc,2,Electric Power,2,All Windows,2,Yes,1,Yes,1,Yes,1,Leather,1,Automatic,5,CD/MP3 Player,2,Yes,1,1400,8,Internal,5,Internal,3,Yes,1,Yes,1,Fully automatic climate control,7,Yes,1,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",4,188,6,400,7,84,400,AWD (All Wheel Drive),In-line,400NM@1750rpm,"Front, Transverse",Injection,1621,4752,1918,SUV,5,,188PS@4000rpm,,1740,8,498,Independent Strut with stabiliser bar and coil spring,Independent multi-link Suspension with stabiliser bar and coil spring,,,245/50 R19,245/50 R19,R19,245/50 R19,Yes,Smart Key,4000,Yes,5,2864 mm,245/50 R19,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Manual,Analog,,Yes,Driver & Front Passenger,Not Applicable,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,Yes,Yes,Yes,,6,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Only front,,Yes,Yes,,Yes,Yes,,Yes,,,,,none
803,Bmw,X4,Xdrive30D M Sport X,6590000,Diesel,68,3,2993,7,6,6,4,0,6,3,16.4,4,0,0,Ventilated Disc,3,Ventilated Disc,2,Electric Power,2,All Windows,2,Yes,1,Yes,1,Yes,1,Leather,1,Automatic,5,CD/MP3 Player,2,Yes,1,1400,8,Internal,5,Internal,3,Yes,1,Yes,1,2 Zone Climate Control,3,Yes,1,"Front passenger side airbag, Rear passenger side airbags, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag",5,265,7,620,11,89,620,AWD (All Wheel Drive),In-line,620NM@2000-2500RPM,"Front, Longitudinal",Injection,1621,4752,1918,SUV,5,,265PS@4000rpm,,1820,8,498,Independent Strut with stabiliser bar and coil spring,Independent multi-link Suspension with stabiliser bar and coil spring,,,245/50 R19,245/50 R19,R19,245/50 R19,Yes,Smart Key,4000,Yes,5,2864 mm,245/50 R19,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Front & Rear,Yes,Front & Rear,,,Yes,Manual,Analog,,Yes,Driver & Front Passenger,Not Applicable,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,Yes,Yes,Yes,Yes,6,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Only front,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,,none
804,Bmw,X4,Xdrive30I M Sport X,6350000,Petrol,68,3,1998,6,6,6,4,0,6,3,13.32,2,0,0,Ventilated Disc,3,Ventilated Disc,2,Electric Power,2,All Windows,2,Yes,1,Yes,1,Yes,1,Leather,1,Automatic,5,CD/MP3 Player,2,Yes,1,1400,8,Internal,5,Internal,3,Yes,1,Yes,1,Fully automatic climate control,7,Yes,1,"Rear passenger side airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",4,248,7,350,7,85,350,AWD (All Wheel Drive),In-line,350NM@1450rpm,"Front, Longitudinal",Injection,1621,4752,1918,SUV,5,,248PS@5200rpm,,1820,8,498,Independent Strut with stabiliser bar and coil spring,Independent multi-link Suspension with stabiliser bar and coil spring,,,245/50 R19,245/50 R19,R19,245/50 R19,Yes,Smart Key,5200,Yes,5,2864 mm,245/50 R19,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Front & Rear,Yes,Front & Rear,Yes,,Yes,Manual,Analog,,Yes,Driver & Front Passenger,,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,6,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Only front,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,,none
805,Jeep,Wrangler,Unlimited,6394000,Petrol,85,4,1999,6,4,4,4,0,6,3,8.4,1,0,0,Ventilated Disc,3,Ventilated Disc,2,Electric Power,2,All Windows,2,Digital,2,Analog,1,Yes,1,Leather,1,Automatic,5,CD Player with USB & Aux-in,5,Yes,1,548,5,Internal,5,Internal,3,Analog,1,Yes,1,Fully automatic climate control,7,Yes,1,"Driver frontal airbag, Front passenger frontal airbag, Drive side airbag, Front passenger side airbag, Front passenger curtain airbag, Driver curtain airbag",6,268,7,400,7,86,400,AWD (All Wheel Drive),V,400NM@4300rpm,"Front, Longitudinal",Injection,1838,4882,1877,SUV,5,17.5,268PS@6350rpm,8.4,,8,215,Independent Suspension with Torsion Bar And Stabilizer Bar,Independent suspension with McPherson Struts,,,245/75R15,245/75R15,R15,245/75R15,Power seats,Remote,6350,Analog,5,3008 mm,245/75R15,,Yes,Yes,Yes,2 Years Unlimited Kilometres,Yes,Yes,,Digital,Front & Rear,Yes,Front & Rear,Yes,2 Years Unlimited Kilometres,Yes,Automatic,Analog + Digital,,Yes,Driver & Front Passenger,Not Applicable,Yes,Yes,Yes,,,,"Normal, Comfort, Eco, Sport",,Yes,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,6,,Rake,,,Rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,,Yes,Manual Adjustment,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,Yes,Yes,,Yes,,,,,none
